행정구역,2020년06월_총인구수,2020년06월_세대수,2020년06월_세대당 인구,2020년06월_남자 인구수,2020년06월_여자 인구수,2020년06월_남여 비율
대전광역시 대덕구 (3023000000),"174,882","76,148",2.3,"88,967","85,915",1.04
울산광역시  (3100000000),"1,142,190","472,983",2.41,"586,939","555,251",1.06
울산광역시 중구 (3111000000),"220,028","92,996",2.37,"111,559","108,469",1.03
울산광역시 남구 (3114000000),"322,883","137,004",2.36,"164,689","158,194",1.04
울산광역시 동구 (3117000000),"157,973","65,496",2.41,"82,633","75,340",1.1
울산광역시 북구 (3120000000),"218,673","82,511",2.65,"113,189","105,484",1.07
울산광역시 울주군 (3171000000),"222,633","94,976",2.34,"114,869","107,764",1.07
세종특별자치시  (3600000000),"345,341","138,167",2.5,"172,234","173,107",0.99
세종특별자치시  (3611000000),"345,341","138,167",2.5,"172,234","173,107",0.99
경기도  (4100000000),"13,338,020","5,566,078",2.4,"6,711,047","6,626,973",1.01
경기도 수원시 (4111000000),"1,191,542","503,104",2.37,"599,868","591,674",1.01
경기도 수원시 장안구 (4111100000),"275,875","115,245",2.39,"138,916","136,959",1.01
경기도 수원시 권선구 (4111300000),"370,648","153,873",2.41,"187,043","183,605",1.02
경기도 수원시 팔달구 (4111500000),"175,468","85,337",2.06,"88,401","87,067",1.02
경기도 수원시 영통구 (4111700000),"369,551","148,649",2.49,"185,508","184,043",1.01
경기도 성남시 (4113000000),"939,748","403,266",2.33,"465,307","474,441",0.98
경기도 성남시 수정구 (4113100000),"234,729","111,730",2.1,"118,800","115,929",1.02
경기도 성남시 중원구 (4113300000),"218,485","100,500",2.17,"110,657","107,828",1.03
경기도 성남시 분당구 (4113500000),"486,534","191,036",2.55,"235,850","250,684",0.94
경기도 의정부시 (4115000000),"455,520","195,030",2.34,"224,416","231,104",0.97
경기도 안양시 (4117000000),"558,017","221,092",2.52,"276,140","281,877",0.98
경기도 안양시 만안구 (4117100000),"241,830","101,044",2.39,"121,115","120,715",1
경기도 안양시 동안구 (4117300000),"316,187","120,048",2.63,"155,025","161,162",0.96
경기도 부천시 (4119000000),"825,700","342,539",2.41,"409,982","415,718",0.99
경기도 광명시 (4121000000),"312,774","125,528",2.49,"154,425","158,349",0.98
경기도 평택시 (4122000000),"523,881","234,015",2.24,"270,183","253,698",1.06
경기도 동두천시 (4125000000),"94,143","43,291",2.17,"46,951","47,192",0.99
경기도 안산시 (4127000000),"654,450","281,932",2.32,"335,477","318,973",1.05
경기도 안산시 상록구 (4127100000),"349,514","150,273",2.33,"178,205","171,309",1.04
경기도 안산시 단원구 (4127300000),"304,936","131,659",2.32,"157,272","147,664",1.07
경기도 고양시 (4128000000),"1,076,996","441,878",2.44,"527,663","549,333",0.96
경기도 고양시 덕양구 (4128100000),"473,812","199,927",2.37,"234,384","239,428",0.98
경기도 고양시 일산동구 (4128500000),"299,323","124,794",2.4,"145,711","153,612",0.95
경기도 고양시 일산서구 (4128700000),"303,861","117,157",2.59,"147,568","156,293",0.94
경기도 과천시 (4129000000),"61,309","22,631",2.71,"30,125","31,184",0.97
경기도 구리시 (4131000000),"198,461","80,745",2.46,"98,503","99,958",0.99
경기도 남양주시 (4136000000),"707,485","280,236",2.52,"352,439","355,046",0.99
경기도 오산시 (4137000000),"228,111","97,348",2.34,"117,949","110,162",1.07
경기도 시흥시 (4139000000),"481,430","199,896",2.41,"251,904","229,526",1.1
경기도 군포시 (4141000000),"276,039","111,639",2.47,"137,037","139,002",0.99
경기도 의왕시 (4143000000),"163,622","63,224",2.59,"81,480","82,142",0.99
경기도 하남시 (4145000000),"283,256","122,338",2.32,"142,312","140,944",1.01
경기도 용인시 (4146000000),"1,073,115","415,491",2.58,"532,935","540,180",0.99
경기도 용인시 처인구 (4146100000),"256,918","109,557",2.35,"132,115","124,803",1.06
경기도 용인시 기흥구 (4146300000),"440,831","168,279",2.62,"217,823","223,008",0.98
경기도 용인시 수지구 (4146500000),"375,366","137,655",2.73,"182,997","192,369",0.95
경기도 파주시 (4148000000),"456,073","193,902",2.35,"231,522","224,551",1.03
경기도 이천시 (4150000000),"218,465","96,059",2.27,"113,002","105,463",1.07
경기도 안성시 (4155000000),"185,305","83,543",2.22,"95,447","89,858",1.06
경기도 김포시 (4157000000),"449,039","181,013",2.48,"225,141","223,898",1.01
경기도 화성시 (4159000000),"836,662","339,150",2.47,"433,894","402,768",1.08
경기도 광주시 (4161000000),"377,525","160,437",2.35,"193,232","184,293",1.05
경기도 양주시 (4163000000),"226,015","95,348",2.37,"114,757","111,258",1.03
경기도 포천시 (4165000000),"148,015","70,702",2.09,"78,233","69,782",1.12
경기도 여주시 (4167000000),"111,341","50,966",2.18,"56,582","54,759",1.03
경기도 연천군 (4180000000),"43,618","21,793",2,"22,851","20,767",1.1
경기도 가평군 (4182000000),"62,662","31,295",2,"32,242","30,420",1.06
경기도 양평군 (4183000000),"117,701","56,647",2.08,"59,048","58,653",1.01
강원도  (4200000000),"1,539,282","726,980",2.12,"774,325","764,957",1.01
강원도 춘천시 (4211000000),"281,400","124,658",2.26,"138,835","142,565",0.97
강원도 원주시 (4213000000),"352,201","157,676",2.23,"174,812","177,389",0.99
강원도 강릉시 (4215000000),"212,863","100,084",2.13,"105,593","107,270",0.98
강원도 동해시 (4217000000),"90,454","41,756",2.17,"45,832","44,622",1.03
강원도 태백시 (4219000000),"43,203","21,647",2,"21,839","21,364",1.02
강원도 속초시 (4221000000),"82,059","39,253",2.09,"40,583","41,476",0.98
강원도 삼척시 (4223000000),"65,753","33,557",1.96,"33,329","32,424",1.03
강원도 홍천군 (4272000000),"68,998","33,669",2.05,"35,452","33,546",1.06
강원도 횡성군 (4273000000),"46,442","23,015",2.02,"23,787","22,655",1.05
강원도 영월군 (4275000000),"38,840","21,237",1.83,"20,054","18,786",1.07
강원도 평창군 (4276000000),"41,739","21,403",1.95,"21,339","20,400",1.05
강원도 정선군 (4277000000),"37,046","20,125",1.84,"19,236","17,810",1.08
강원도 철원군 (4278000000),"44,987","21,127",2.13,"23,401","21,586",1.08
강원도 화천군 (4279000000),"24,717","12,623",1.96,"13,372","11,345",1.18
강원도 양구군 (4280000000),"22,332","10,691",2.09,"11,789","10,543",1.12
강원도 인제군 (4281000000),"31,554","15,702",2.01,"17,052","14,502",1.18
강원도 고성군 (4282000000),"26,886","14,462",1.86,"13,884","13,002",1.07
강원도 양양군 (4283000000),"27,808","14,295",1.95,"14,136","13,672",1.03
충청북도  (4300000000),"1,597,593","732,285",2.18,"809,657","787,936",1.03
충청북도 청주시 (4311000000),"842,821","368,270",2.29,"424,561","418,260",1.02
충청북도 청주시 상당구 (4311100000),"184,165","77,274",2.38,"91,750","92,415",0.99
충청북도 청주시 서원구 (4311200000),"198,950","87,215",2.28,"98,807","100,143",0.99
충청북도 청주시 흥덕구 (4311300000),"265,681","118,163",2.25,"134,660","131,021",1.03
충청북도 청주시 청원구 (4311400000),"194,025","85,618",2.27,"99,344","94,681",1.05
충청북도 충주시 (4313000000),"210,173","96,748",2.17,"106,312","103,861",1.02
충청북도 제천시 (4315000000),"133,395","63,595",2.1,"66,925","66,470",1.01
충청북도 보은군 (4372000000),"32,578","16,800",1.94,"16,406","16,172",1.01
충청북도 옥천군 (4373000000),"50,802","24,263",2.09,"25,585","25,217",1.01
충청북도 영동군 (4374000000),"47,736","24,339",1.96,"23,723","24,013",0.99
충청북도 증평군 (4374500000),"37,178","17,489",2.13,"19,285","17,893",1.08
충청북도 진천군 (4375000000),"81,742","38,110",2.14,"42,813","38,929",1.1
충청북도 괴산군 (4376000000),"37,493","20,718",1.81,"19,202","18,291",1.05
충청북도 음성군 (4377000000),"94,288","46,708",2.02,"49,951","44,337",1.13
충청북도 단양군 (4380000000),"29,387","15,245",1.93,"14,894","14,493",1.03
충청남도  (4400000000),"2,119,771","971,033",2.18,"1,081,224","1,038,547",1.04
충청남도 천안시 (4413000000),"657,514","287,440",2.29,"335,230","322,284",1.04
충청남도 천안시 동남구 (4413100000),"258,996","114,695",2.26,"131,239","127,757",1.03
