행정구역,2020년06월_계_총인구수,2020년06월_계_연령구간인구수,2020년06월_계_0~4세,2020년06월_계_5~9세,2020년06월_계_10~14세,2020년06월_계_15~19세,2020년06월_계_20~24세,2020년06월_계_25~29세,2020년06월_계_30~34세,2020년06월_계_35~39세,2020년06월_계_40~44세,2020년06월_계_45~49세,2020년06월_계_50~54세,2020년06월_계_55~59세,2020년06월_계_60~64세,2020년06월_계_65~69세,2020년06월_계_70~74세,2020년06월_계_75~79세,2020년06월_계_80~84세,2020년06월_계_85~89세,2020년06월_계_90~94세,2020년06월_계_95~99세,2020년06월_계_100세 이상,2020년06월_남_총인구수,2020년06월_남_연령구간인구수,2020년06월_남_0~4세,2020년06월_남_5~9세,2020년06월_남_10~14세,2020년06월_남_15~19세,2020년06월_남_20~24세,2020년06월_남_25~29세,2020년06월_남_30~34세,2020년06월_남_35~39세,2020년06월_남_40~44세,2020년06월_남_45~49세,2020년06월_남_50~54세,2020년06월_남_55~59세,2020년06월_남_60~64세,2020년06월_남_65~69세,2020년06월_남_70~74세,2020년06월_남_75~79세,2020년06월_남_80~84세,2020년06월_남_85~89세,2020년06월_남_90~94세,2020년06월_남_95~99세,2020년06월_남_100세 이상,2020년06월_여_총인구수,2020년06월_여_연령구간인구수,2020년06월_여_0~4세,2020년06월_여_5~9세,2020년06월_여_10~14세,2020년06월_여_15~19세,2020년06월_여_20~24세,2020년06월_여_25~29세,2020년06월_여_30~34세,2020년06월_여_35~39세,2020년06월_여_40~44세,2020년06월_여_45~49세,2020년06월_여_50~54세,2020년06월_여_55~59세,2020년06월_여_60~64세,2020년06월_여_65~69세,2020년06월_여_70~74세,2020년06월_여_75~79세,2020년06월_여_80~84세,2020년06월_여_85~89세,2020년06월_여_90~94세,2020년06월_여_95~99세,2020년06월_여_100세 이상
서울특별시 도봉구 (1132000000),"329,560","329,560","8,457","11,265","11,761","14,764","21,142","23,261","19,521","22,603","22,075","27,644","28,855","28,917","28,563","20,145","15,270","12,257","7,701","3,559","1,315",313,172,"160,855","160,855","4,380","5,793","6,061","7,610","10,691","11,907","10,011","11,533","11,068","13,529","13,784","13,772","13,552","9,756","7,098","5,536","3,118","1,168",362,80,46,"168,705","168,705","4,077","5,472","5,700","7,154","10,451","11,354","9,510","11,070","11,007","14,115","15,071","15,145","15,011","10,389","8,172","6,721","4,583","2,391",953,233,126
서울특별시 노원구 (1135000000),"528,887","528,887","14,495","20,308","24,355","30,490","38,463","35,441","30,626","35,781","38,679","49,523","46,453","41,916","38,798","27,698","20,688","16,508","10,724","5,273","1,902",494,272,"255,624","255,624","7,419","10,522","12,666","15,741","19,703","18,345","15,394","17,746","18,449","23,595","22,643","20,157","18,044","12,929","9,220","6,858","3,934","1,587",475,115,82,"273,263","273,263","7,076","9,786","11,689","14,749","18,760","17,096","15,232","18,035","20,230","25,928","23,810","21,759","20,754","14,769","11,468","9,650","6,790","3,686","1,427",379,190
서울특별시 은평구 (1138000000),"479,524","479,524","13,579","17,193","18,008","21,493","29,812","36,665","32,297","36,816","35,775","41,616","39,246","37,828","36,116","26,569","21,569","17,221","10,712","4,523","1,626",446,414,"230,640","230,640","6,899","8,859","9,249","10,880","14,571","17,612","15,870","18,505","17,788","20,474","19,073","18,017","16,928","11,999","9,587","7,562","4,531","1,575",450,132,79,"248,884","248,884","6,680","8,334","8,759","10,613","15,241","19,053","16,427","18,311","17,987","21,142","20,173","19,811","19,188","14,570","11,982","9,659","6,181","2,948","1,176",314,335
서울특별시 서대문구 (1141000000),"312,720","312,720","9,352","11,174","10,885","13,416","23,011","27,151","21,898","23,326","22,094","25,887","25,476","24,068","21,974","15,761","13,171","11,247","7,600","3,349","1,242",354,284,"149,920","149,920","4,901","5,642","5,462","6,671","10,555","13,635","10,864","11,594","10,955","12,754","12,411","11,606","10,427","7,304","5,622","4,797","3,047","1,153",353,93,74,"162,800","162,800","4,451","5,532","5,423","6,745","12,456","13,516","11,034","11,732","11,139","13,133","13,065","12,462","11,547","8,457","7,549","6,450","4,553","2,196",889,261,210
서울특별시 마포구 (1144000000),"374,390","374,390","12,205","13,675","13,793","15,321","26,122","35,551","32,295","33,064","29,388","32,544","28,472","25,841","22,785","16,075","13,256","11,266","7,320","3,477","1,243",371,326,"176,664","176,664","6,262","6,859","7,028","7,667","11,665","16,347","14,833","16,139","14,206","15,933","14,033","12,697","10,652","7,282","5,551","4,829","2,924","1,224",346,107,80,"197,726","197,726","5,943","6,816","6,765","7,654","14,457","19,204","17,462","16,925","15,182","16,611","14,439","13,144","12,133","8,793","7,705","6,437","4,396","2,253",897,264,246
서울특별시 양천구 (1147000000),"457,953","457,953","12,731","20,189","24,534","26,911","29,705","30,941","27,067","32,427","36,257","43,829","40,334","36,635","32,706","23,426","16,490","11,448","7,014","3,469","1,302",365,173,"224,908","224,908","6,520","10,374","12,820","13,967","15,531","15,547","13,535","15,746","17,149","21,226","20,112","18,157","15,657","11,363","7,937","5,192","2,623",999,330,79,44,"233,045","233,045","6,211","9,815","11,714","12,944","14,174","15,394","13,532","16,681","19,108","22,603","20,222","18,478","17,049","12,063","8,553","6,256","4,391","2,470",972,286,129
서울특별시 강서구 (1150000000),"586,936","586,936","19,091","22,807","21,458","24,637","35,114","52,260","49,730","51,181","45,314","47,072","43,072","44,622","43,816","31,314","22,877","15,547","9,577","4,801","1,939",478,229,"283,697","283,697","9,779","11,602","11,041","12,462","16,643","24,125","24,863","26,356","22,779","23,578","20,819","21,051","20,360","14,506","10,915","7,110","3,607","1,473",433,123,72,"303,239","303,239","9,312","11,205","10,417","12,175","18,471","28,135","24,867","24,825","22,535","23,494","22,253","23,571","23,456","16,808","11,962","8,437","5,970","3,328","1,506",355,157
서울특별시 구로구 (1153000000),"405,075","405,075","13,520","15,785","14,643","16,076","23,971","31,636","30,434","33,292","30,939","32,902","31,503","31,879","31,246","23,378","18,185","13,079","7,673","3,318","1,143",305,168,"200,098","200,098","6,972","8,018","7,473","8,357","11,729","15,527","15,351","17,209","15,833","16,926","15,614","15,658","14,808","10,984","8,779","6,100","3,249","1,122",278,74,37,"204,977","204,977","6,548","7,767","7,170","7,719","12,242","16,109","15,083","16,083","15,106","15,976","15,889","16,221","16,438","12,394","9,406","6,979","4,424","2,196",865,231,131
서울특별시 금천구 (1154500000),"232,250","232,250","6,175","7,002","6,791","8,393","14,689","21,990","18,262","17,283","15,308","18,213","19,800","20,964","18,976","13,324","10,194","7,636","4,334","1,928",629,186,173,"117,762","117,762","3,201","3,530","3,454","4,241","7,224","11,504","10,134","9,551","8,142","9,349","9,908","10,610","9,449","6,411","4,810","3,510","1,821",651,148,57,57,"114,488","114,488","2,974","3,472","3,337","4,152","7,465","10,486","8,128","7,732","7,166","8,864","9,892","10,354","9,527","6,913","5,384","4,126","2,513","1,277",481,129,116
서울특별시 영등포구 (1156000000),"373,349","373,349","12,739","12,767","11,266","13,243","22,027","36,058","34,694","32,793","26,970","28,885","28,209","28,216","26,506","19,329","15,217","11,652","7,464","3,522","1,160",360,272,"184,905","184,905","6,460","6,510","5,856","6,931","10,248","17,134","17,607","17,167","13,840","14,847","14,357","14,360","13,057","9,237","7,134","5,244","3,184","1,240",319,106,67,"188,444","188,444","6,279","6,257","5,410","6,312","11,779","18,924","17,087","15,626","13,130","14,038","13,852","13,856","13,449","10,092","8,083","6,408","4,280","2,282",841,254,205
