행정구역,2020년06월_계_총인구수,2020년06월_계_연령구간인구수,2020년06월_계_0~4세,2020년06월_계_5~9세,2020년06월_계_10~14세,2020년06월_계_15~19세,2020년06월_계_20~24세,2020년06월_계_25~29세,2020년06월_계_30~34세,2020년06월_계_35~39세,2020년06월_계_40~44세,2020년06월_계_45~49세,2020년06월_계_50~54세,2020년06월_계_55~59세,2020년06월_계_60~64세,2020년06월_계_65~69세,2020년06월_계_70~74세,2020년06월_계_75~79세,2020년06월_계_80~84세,2020년06월_계_85~89세,2020년06월_계_90~94세,2020년06월_계_95~99세,2020년06월_계_100세 이상,2020년06월_남_총인구수,2020년06월_남_연령구간인구수,2020년06월_남_0~4세,2020년06월_남_5~9세,2020년06월_남_10~14세,2020년06월_남_15~19세,2020년06월_남_20~24세,2020년06월_남_25~29세,2020년06월_남_30~34세,2020년06월_남_35~39세,2020년06월_남_40~44세,2020년06월_남_45~49세,2020년06월_남_50~54세,2020년06월_남_55~59세,2020년06월_남_60~64세,2020년06월_남_65~69세,2020년06월_남_70~74세,2020년06월_남_75~79세,2020년06월_남_80~84세,2020년06월_남_85~89세,2020년06월_남_90~94세,2020년06월_남_95~99세,2020년06월_남_100세 이상,2020년06월_여_총인구수,2020년06월_여_연령구간인구수,2020년06월_여_0~4세,2020년06월_여_5~9세,2020년06월_여_10~14세,2020년06월_여_15~19세,2020년06월_여_20~24세,2020년06월_여_25~29세,2020년06월_여_30~34세,2020년06월_여_35~39세,2020년06월_여_40~44세,2020년06월_여_45~49세,2020년06월_여_50~54세,2020년06월_여_55~59세,2020년06월_여_60~64세,2020년06월_여_65~69세,2020년06월_여_70~74세,2020년06월_여_75~79세,2020년06월_여_80~84세,2020년06월_여_85~89세,2020년06월_여_90~94세,2020년06월_여_95~99세,2020년06월_여_100세 이상
부산광역시 영도구 (2620000000),"115,120","115,120","2,245","3,260","3,402","4,304","6,208","6,039","4,877","6,255","6,834","8,747","9,411","10,672","11,969","9,809","7,989","6,562","3,992","1,687",584,143,131,"56,700","56,700","1,105","1,669","1,740","2,243","3,326","3,351","2,699","3,276","3,563","4,623","4,917","5,280","5,777","4,619","3,594","2,734","1,491",524,100,36,33,"58,420","58,420","1,140","1,591","1,662","2,061","2,882","2,688","2,178","2,979","3,271","4,124","4,494","5,392","6,192","5,190","4,395","3,828","2,501","1,163",484,107,98
부산광역시 부산진구 (2623000000),"357,242","357,242","9,655","12,041","11,461","13,983","23,549","28,221","22,843","24,731","23,924","27,627","28,360","30,518","31,020","23,451","17,640","13,957","8,725","3,801","1,215",291,229,"172,757","172,757","4,938","6,081","5,775","7,222","11,490","14,029","11,529","12,697","12,146","13,871","13,848","14,665","14,625","11,039","7,961","5,918","3,305","1,218",284,68,48,"184,485","184,485","4,717","5,960","5,686","6,761","12,059","14,192","11,314","12,034","11,778","13,756","14,512","15,853","16,395","12,412","9,679","8,039","5,420","2,583",931,223,181
부산광역시 동래구 (2626000000),"272,476","272,476","8,295","11,804","12,046","13,169","16,448","16,948","15,023","18,925","20,294","23,160","22,530","22,482","22,578","17,572","12,637","9,396","5,435","2,523",875,202,134,"132,759","132,759","4,243","6,124","6,309","6,892","8,619","8,895","7,669","9,368","9,817","11,347","10,885","10,464","10,539","8,171","5,908","4,252","2,223",768,200,43,23,"139,717","139,717","4,052","5,680","5,737","6,277","7,829","8,053","7,354","9,557","10,477","11,813","11,645","12,018","12,039","9,401","6,729","5,144","3,212","1,755",675,159,111
부산광역시 남구 (2629000000),"270,606","270,606","7,594","11,128","11,074","12,575","18,356","17,069","13,591","17,728","19,653","22,972","21,911","21,505","22,543","17,800","13,823","10,885","6,446","2,692",942,185,134,"132,436","132,436","3,873","5,671","5,715","6,502","9,528","9,249","7,073","8,938","9,766","11,580","10,827","10,310","10,371","8,221","6,259","4,811","2,614",862,197,45,24,"138,170","138,170","3,721","5,457","5,359","6,073","8,828","7,820","6,518","8,790","9,887","11,392","11,084","11,195","12,172","9,579","7,564","6,074","3,832","1,830",745,140,110
부산광역시 북구 (2632000000),"288,376","288,376","8,765","11,052","10,876","13,348","19,012","19,764","16,285","18,544","18,876","22,547","26,552","28,775","26,175","17,828","12,084","8,886","5,351","2,552",807,198,99,"142,725","142,725","4,519","5,673","5,643","6,959","10,187","10,627","8,457","9,574","9,648","10,837","12,422","14,052","13,026","8,675","5,701","3,885","1,942",679,166,33,20,"145,651","145,651","4,246","5,379","5,233","6,389","8,825","9,137","7,828","8,970","9,228","11,710","14,130","14,723","13,149","9,153","6,383","5,001","3,409","1,873",641,165,79
부산광역시 해운대구 (2635000000),"403,923","403,923","11,817","17,256","18,065","20,744","25,020","24,688","20,813","26,883","30,242","36,371","35,896","34,940","32,671","23,636","17,207","13,320","8,533","3,999","1,364",299,159,"194,638","194,638","6,081","9,038","9,287","10,728","13,236","12,777","10,262","12,915","14,528","17,124","17,175","16,562","15,545","11,075","7,816","5,651","3,187","1,242",302,63,44,"209,285","209,285","5,736","8,218","8,778","10,016","11,784","11,911","10,551","13,968","15,714","19,247","18,721","18,378","17,126","12,561","9,391","7,669","5,346","2,757","1,062",236,115
부산광역시 사하구 (2638000000),"317,258","317,258","8,964","12,186","11,912","14,341","20,477","20,434","17,135","21,668","21,697","25,445","27,138","28,980","28,841","21,223","14,994","10,927","6,549","2,881","1,062",239,165,"158,222","158,222","4,649","6,192","6,134","7,561","10,896","11,111","9,188","11,334","11,301","12,805","13,332","14,080","13,890","10,328","7,047","4,838","2,439",807,216,38,36,"159,036","159,036","4,315","5,994","5,778","6,780","9,581","9,323","7,947","10,334","10,396","12,640","13,806","14,900","14,951","10,895","7,947","6,089","4,110","2,074",846,201,129
부산광역시 금정구 (2641000000),"236,009","236,009","5,553","8,061","8,164","10,217","17,374","16,522","12,237","13,914","14,880","18,017","19,792","21,762","21,621","16,491","12,173","9,386","5,763","2,760",897,228,197,"115,428","115,428","2,850","4,158","4,284","5,150","9,055","9,292","6,547","6,978","7,579","8,814","9,406","10,293","10,165","7,655","5,604","4,213","2,236",835,228,46,40,"120,581","120,581","2,703","3,903","3,880","5,067","8,319","7,230","5,690","6,936","7,301","9,203","10,386","11,469","11,456","8,836","6,569","5,173","3,527","1,925",669,182,157
부산광역시 강서구 (2644000000),"131,779","131,779","9,187","10,230","6,386","4,497","4,885","6,992","10,441","15,937","12,684","9,338","7,914","8,565","8,859","6,183","3,867","2,758","1,720",862,346,85,43,"68,116","68,116","4,722","5,260","3,218","2,343","2,636","3,724","5,197","8,264","7,089","5,276","4,172","4,279","4,445","3,231","2,004","1,298",622,247,63,14,12,"63,663","63,663","4,465","4,970","3,168","2,154","2,249","3,268","5,244","7,673","5,595","4,062","3,742","4,286","4,414","2,952","1,863","1,460","1,098",615,283,71,31
부산광역시 연제구 (2647000000),"209,514","209,514","6,769","8,313","7,781","8,877","12,500","13,867","12,580","15,199","15,113","16,850","17,071","17,363","17,874","13,901","10,148","7,761","4,655","1,979",665,167,81,"101,066","101,066","3,508","4,172","4,028","4,560","6,490","6,921","6,290","7,637","7,442","8,221","8,120","8,128","8,200","6,469","4,704","3,461","1,910",593,157,36,19,"108,448","108,448","3,261","4,141","3,753","4,317","6,010","6,946","6,290","7,562","7,671","8,629","8,951","9,235","9,674","7,432","5,444","4,300","2,745","1,386",508,131,62
부산광역시 수영구 (2650000000),"176,975","176,975","4,844","5,674","5,351","6,719","10,473","13,801","11,563","12,599","12,042","13,596","13,543","14,289","15,639","12,370","9,816","7,175","4,469","2,072",740,137,63,"83,688","83,688","2,473","2,925","2,748","3,474","5,123","6,717","5,767","6,265","6,082","6,529","6,368","6,339","6,960","5,554","4,444","3,215","1,844",635,188,25,13,"93,287","93,287","2,371","2,749","2,603","3,245","5,350","7,084","5,796","6,334","5,960","7,067","7,175","7,950","8,679","6,816","5,372","3,960","2,625","1,437",552,112,50
부산광역시 사상구 (2653000000),"215,709","215,709","5,749","7,421","6,980","8,680","14,002","15,472","12,261","13,921","13,950","16,192","19,748","22,426","21,082","14,677","9,875","6,883","3,980","1,697",523,122,68,"109,108","109,108","2,954","3,739","3,628","4,575","7,328","8,485","6,700","7,357","7,436","8,324","9,764","11,275","10,557","7,242","4,693","3,082","1,413",448,82,17,9,"106,601","106,601","2,795","3,682","3,352","4,105","6,674","6,987","5,561","6,564","6,514","7,868","9,984","11,151","10,525","7,435","5,182","3,801","2,567","1,249",441,105,59
부산광역시 기장군 (2671000000),"170,139","170,139","8,139","11,093","8,951","8,088","8,011","8,396","9,621","15,448","16,192","15,045","12,113","11,075","11,410","8,870","6,771","5,198","3,347","1,615",558,155,43,"84,220","84,220","4,071","5,701","4,664","4,246","4,200","4,477","4,757","7,616","8,259","7,903","6,232","5,442","5,310","4,114","3,164","2,261","1,214",456,106,20,7,"85,919","85,919","4,068","5,392","4,287","3,842","3,811","3,919","4,864","7,832","7,933","7,142","5,881","5,633","6,100","4,756","3,607","2,937","2,133","1,159",452,135,36
대구광역시  (2700000000),"2,427,954","2,427,954","78,348","105,283","106,062","124,391","162,485","159,780","135,624","164,742","176,700","211,180","217,293","210,328","184,125","132,856","95,884","77,572","51,181","24,393","7,439","1,585",703,"1,198,815","1,198,815","40,140","53,906","54,958","65,572","86,169","86,510","72,835","82,911","87,623","103,636","106,569","102,918","89,029","61,879","43,439","32,190","18,880","7,504","1,651",331,165,"1,229,139","1,229,139","38,208","51,377","51,104","58,819","76,316","73,270","62,789","81,831","89,077","107,544","110,724","107,410","95,096","70,977","52,445","45,382","32,301","16,889","5,788","1,254",538
대구광역시 중구 (2711000000),"76,984","76,984","2,553","2,789","2,271","2,826","5,248","6,618","5,279","5,762","5,057","5,756","5,730","5,702","5,660","4,466","3,952","3,421","2,257","1,067",367,102,101,"37,036","37,036","1,325","1,430","1,182","1,418","2,390","3,300","2,753","2,940","2,639","2,895","2,847","2,777","2,693","1,987","1,660","1,448",868,350,92,20,22,"39,948","39,948","1,228","1,359","1,089","1,408","2,858","3,318","2,526","2,822","2,418","2,861","2,883","2,925","2,967","2,479","2,292","1,973","1,389",717,275,82,79
대구광역시 동구 (2714000000),"342,627","342,627","11,539","14,384","12,811","14,235","19,764","21,973","20,196","24,480","24,518","27,058","27,969","29,393","28,279","21,903","16,498","13,478","8,652","3,926","1,180",268,123,"168,940","168,940","5,827","7,414","6,643","7,526","10,481","11,852","10,908","12,624","12,629","13,966","13,739","14,119","13,246","10,047","7,460","5,631","3,243","1,235",262,54,34,"173,687","173,687","5,712","6,970","6,168","6,709","9,283","10,121","9,288","11,856","11,889","13,092","14,230","15,274","15,033","11,856","9,038","7,847","5,409","2,691",918,214,89
대구광역시 서구 (2717000000),"172,802","172,802","3,336","4,605","4,707","6,655","10,334","11,689","8,567","9,432","10,142","13,370","16,432","18,523","17,200","13,171","9,498","7,610","4,705","1,976",610,140,100,"86,639","86,639","1,774","2,307","2,387","3,577","5,540","6,572","5,003","5,165","5,512","7,087","8,307","9,221","8,218","6,039","4,305","3,169","1,735",554,120,24,23,"86,163","86,163","1,562","2,298","2,320","3,078","4,794","5,117","3,564","4,267","4,630","6,283","8,125","9,302","8,982","7,132","5,193","4,441","2,970","1,422",490,116,77
대구광역시 남구 (2720000000),"147,482","147,482","3,110","3,942","4,140","5,565","9,482","10,888","8,333","9,129","9,184","11,488","12,312","13,016","13,095","10,554","8,171","6,941","4,772","2,379",735,162,84,"70,945","70,945","1,622","2,035","2,178","2,937","4,633","5,634","4,502","4,660","4,616","5,775","6,142","6,156","6,083","4,723","3,578","2,852","1,793",785,185,38,18,"76,537","76,537","1,488","1,907","1,962","2,628","4,849","5,254","3,831","4,469","4,568","5,713","6,170","6,860","7,012","5,831","4,593","4,089","2,979","1,594",550,124,66
대구광역시 북구 (2723000000),"438,608","438,608","15,102","19,703","19,929","24,438","32,056","28,992","24,735","29,792","32,541","40,786","40,340","37,270","30,648","21,216","15,226","12,639","8,039","3,760","1,088",222,86,"218,514","218,514","7,662","10,165","10,267","12,805","17,183","16,048","13,275","15,101","16,066","19,880","20,086","18,463","15,222","10,015","6,769","5,136","2,975","1,114",222,43,17,"220,094","220,094","7,440","9,538","9,662","11,633","14,873","12,944","11,460","14,691","16,475","20,906","20,254","18,807","15,426","11,201","8,457","7,503","5,064","2,646",866,179,69
대구광역시 수성구 (2726000000),"426,919","426,919","11,007","19,683","24,307","28,069","30,558","25,236","18,702","25,137","32,276","41,709","40,395","34,927","29,589","21,298","15,585","12,945","8,953","4,683","1,461",301,98,"206,873","206,873","5,667","10,101","12,731","14,975","16,504","13,590","9,713","11,540","14,641","19,107","19,592","16,979","14,122","9,809","6,981","5,455","3,421","1,512",337,70,26,"220,046","220,046","5,340","9,582","11,576","13,094","14,054","11,646","8,989","13,597","17,635","22,602","20,803","17,948","15,467","11,489","8,604","7,490","5,532","3,171","1,124",231,72
대구광역시 달서구 (2729000000),"565,378","565,378","17,310","24,696","25,707","31,208","41,262","39,103","31,505","37,074","41,046","50,221","53,698","51,293","42,535","28,858","19,191","14,636","9,755","4,551","1,370",275,84,"279,227","279,227","8,951","12,558","13,291","16,261","21,781","21,197","17,052","18,487","20,051","24,113","25,749","25,046","20,877","13,646","8,890","6,085","3,447","1,366",309,53,17,"286,151","286,151","8,359","12,138","12,416","14,947","19,481","17,906","14,453","18,587","20,995","26,108","27,949","26,247","21,658","15,212","10,301","8,551","6,308","3,185","1,061",222,67
대구광역시 달성군 (2771000000),"257,154","257,154","14,391","15,481","12,190","11,395","13,781","15,281","18,307","23,936","21,936","20,792","20,417","20,204","17,119","11,390","7,763","5,902","4,048","2,051",628,115,27,"130,641","130,641","7,312","7,896","6,279","6,073","7,657","8,317","9,629","12,394","11,469","10,813","10,107","10,157","8,568","5,613","3,796","2,414","1,398",588,124,29,8,"126,513","126,513","7,079","7,585","5,911","5,322","6,124","6,964","8,678","11,542","10,467","9,979","10,310","10,047","8,551","5,777","3,967","3,488","2,650","1,463",504,86,19
인천광역시  (2800000000),"2,947,217","2,947,217","101,448","134,078","133,415","144,008","189,361","214,738","186,668","226,145","229,000","257,833","256,442","257,306","217,220","136,239","99,773","75,332","50,043","25,351","9,467","2,422",928,"1,476,813","1,476,813","52,121","68,726","68,472","74,291","98,080","112,803","97,008","116,363","117,696","130,980","127,452","129,512","108,634","66,530","47,200","32,390","18,433","7,282","2,070",524,246,"1,470,404","1,470,404","49,327","65,352","64,943","69,717","91,281","101,935","89,660","109,782","111,304","126,853","128,990","127,794","108,586","69,709","52,573","42,942","31,610","18,069","7,397","1,898",682
인천광역시 중구 (2811000000),"138,783","138,783","5,363","6,821","6,519","6,033","7,866","11,442","9,697","11,623","12,028","12,382","10,478","9,599","9,001","6,481","5,247","3,944","2,369","1,203",462,145,80,"71,833","71,833","2,783","3,476","3,338","3,181","3,723","6,033","5,324","6,198","6,456","6,933","5,798","5,193","4,522","3,156","2,451","1,808",931,355,107,40,27,"66,950","66,950","2,580","3,345","3,181","2,852","4,143","5,409","4,373","5,425","5,572","5,449","4,680","4,406","4,479","3,325","2,796","2,136","1,438",848,355,105,53
인천광역시 동구 (2814000000),"63,546","63,546","1,638","2,431","2,519","2,690","3,404","3,346","3,028","4,250","4,853","5,421","4,948","5,300","5,622","4,226","3,630","2,968","1,864",912,329,92,75,"32,101","32,101",861,"1,285","1,313","1,376","1,816","1,854","1,631","2,239","2,658","2,880","2,688","2,745","2,760","1,994","1,638","1,270",710,252,84,24,23,"31,445","31,445",777,"1,146","1,206","1,314","1,588","1,492","1,397","2,011","2,195","2,541","2,260","2,555","2,862","2,232","1,992","1,698","1,154",660,245,68,52
인천광역시 미추홀구 (2817700000),"406,125","406,125","12,462","15,677","14,951","17,374","26,592","30,671","26,050","30,558","29,939","33,959","33,366","34,477","32,280","22,076","17,572","13,527","8,467","4,020","1,547",380,180,"204,638","204,638","6,368","8,031","7,721","8,947","13,931","16,403","14,079","16,261","15,962","17,793","16,987","17,034","15,613","10,465","8,167","5,910","3,294","1,188",346,89,49,"201,487","201,487","6,094","7,646","7,230","8,427","12,661","14,268","11,971","14,297","13,977","16,166","16,379","17,443","16,667","11,611","9,405","7,617","5,173","2,832","1,201",291,131
인천광역시 연수구 (2818500000),"372,566","372,566","15,786","21,100","20,782","20,719","24,558","26,271","24,649","30,660","31,329","34,694","32,145","30,555","23,139","12,723","8,669","6,464","4,543","2,501",960,267,52,"185,258","185,258","8,012","10,794","10,599","10,725","12,720","13,622","12,294","15,038","15,504","16,960","15,718","15,335","12,023","6,440","4,110","2,823","1,572",672,222,62,13,"187,308","187,308","7,774","10,306","10,183","9,994","11,838","12,649","12,355","15,622","15,825","17,734","16,427","15,220","11,116","6,283","4,559","3,641","2,971","1,829",738,205,39
인천광역시 남동구 (2820000000),"530,416","530,416","18,526","25,481","24,835","25,990","33,589","38,252","33,340","41,770","43,208","46,678","45,361","45,488","38,574","24,815","17,570","12,725","8,134","3,986","1,592",373,129,"263,707","263,707","9,605","13,068","12,683","13,291","17,211","19,959","17,257","21,312","22,104","23,627","22,179","22,595","18,779","11,835","8,342","5,339","2,988","1,100",342,61,30,"266,709","266,709","8,921","12,413","12,152","12,699","16,378","18,293","16,083","20,458","21,104","23,051","23,182","22,893","19,795","12,980","9,228","7,386","5,146","2,886","1,250",312,99
인천광역시 부평구 (2823700000),"502,365","502,365","15,098","19,580","20,530","24,076","32,994","38,643","32,725","37,065","36,235","42,758","45,312","46,311","39,322","24,671","17,707","13,485","9,068","4,531","1,628",431,195,"248,663","248,663","7,768","9,951","10,645","12,471","16,934","19,956","16,945","19,166","18,477","21,190","21,863","23,090","19,313","11,850","8,297","5,714","3,239","1,322",337,92,43,"253,702","253,702","7,330","9,629","9,885","11,605","16,060","18,687","15,780","17,899","17,758","21,568","23,449","23,221","20,009","12,821","9,410","7,771","5,829","3,209","1,291",339,152
인천광역시 계양구 (2824500000),"299,853","299,853","8,225","11,308","12,407","15,124","21,379","23,665","18,438","20,324","20,853","26,062","29,903","31,576","23,905","13,149","8,637","6,656","4,686","2,425",860,205,66,"149,655","149,655","4,173","5,776","6,357","7,860","11,167","12,332","9,612","10,503","10,497","12,808","14,430","15,690","12,386","6,696","4,152","2,711","1,590",670,188,42,15,"150,198","150,198","4,052","5,532","6,050","7,264","10,212","11,333","8,826","9,821","10,356","13,254","15,473","15,886","11,519","6,453","4,485","3,945","3,096","1,755",672,163,51
인천광역시 서구 (2826000000),"544,136","544,136","22,500","29,272","28,076","28,989","34,814","38,464","35,432","45,876","46,047","50,105","48,134","45,051","35,281","20,495","13,993","9,878","6,662","3,361","1,301",303,102,"274,761","274,761","11,578","15,111","14,378","14,847","17,971","20,146","17,970","23,505","23,539","25,471","24,123","23,175","18,134","10,263","6,709","4,237","2,340",916,258,57,33,"269,375","269,375","10,922","14,161","13,698","14,142","16,843","18,318","17,462","22,371","22,508","24,634","24,011","21,876","17,147","10,232","7,284","5,641","4,322","2,445","1,043",246,69
인천광역시 강화군 (2871000000),"69,060","69,060","1,391","1,902","2,284","2,385","2,812","2,684","2,376","3,024","3,377","4,481","5,266","6,828","7,828","5,987","5,364","4,718","3,541","1,997",614,163,38,"34,617","34,617",734,979,"1,172","1,229","1,599","1,579","1,284","1,557","1,800","2,474","2,758","3,462","3,878","2,979","2,632","2,122","1,495",680,148,47,9,"34,443","34,443",657,923,"1,112","1,156","1,213","1,105","1,092","1,467","1,577","2,007","2,508","3,366","3,950","3,008","2,732","2,596","2,046","1,317",466,116,29
인천광역시 옹진군 (2872000000),"20,367","20,367",459,506,512,628,"1,353","1,300",933,995,"1,131","1,293","1,529","2,121","2,268","1,616","1,384",967,709,415,174,63,11,"11,580","11,580",239,255,266,364,"1,008",919,612,584,699,844,908,"1,193","1,226",852,702,456,274,127,38,10,4,"8,787","8,787",220,251,246,264,345,381,321,411,432,449,621,928,"1,042",764,682,511,435,288,136,53,7
광주광역시  (2900000000),"1,455,048","1,455,048","51,368","72,045","74,593","85,790","108,392","100,373","82,708","106,728","113,794","129,933","124,008","109,818","94,223","64,498","51,807","40,072","26,010","12,806","4,610","1,053",419,"720,060","720,060","26,250","37,188","38,614","44,671","56,445","52,498","42,571","53,919","56,472","64,491","61,608","54,307","45,408","30,127","23,516","17,146","9,778","3,784","1,038",176,53,"734,988","734,988","25,118","34,857","35,979","41,119","51,947","47,875","40,137","52,809","57,322","65,442","62,400","55,511","48,815","34,371","28,291","22,926","16,232","9,022","3,572",877,366
광주광역시 동구 (2911000000),"99,273","99,273","3,095","3,565","3,072","4,195","7,031","7,134","5,850","6,667","6,398","7,241","7,556","7,880","7,998","6,243","5,493","4,636","3,099","1,425",505,122,68,"49,091","49,091","1,625","1,843","1,581","2,198","3,582","3,702","3,014","3,520","3,401","3,740","3,796","3,823","3,858","2,846","2,431","2,057","1,348",540,145,27,14,"50,182","50,182","1,470","1,722","1,491","1,997","3,449","3,432","2,836","3,147","2,997","3,501","3,760","4,057","4,140","3,397","3,062","2,579","1,751",885,360,95,54
광주광역시 서구 (2914000000),"299,248","299,248","9,282","13,416","14,585","17,987","23,491","21,850","17,046","20,868","22,633","27,179","26,535","23,058","19,779","13,615","10,657","8,181","5,260","2,570",948,234,74,"146,717","146,717","4,797","6,996","7,643","9,420","12,177","11,104","8,769","10,362","10,879","13,140","13,072","11,229","9,329","6,381","4,812","3,558","1,996",781,229,34,9,"152,531","152,531","4,485","6,420","6,942","8,567","11,314","10,746","8,277","10,506","11,754","14,039","13,463","11,829","10,450","7,234","5,845","4,623","3,264","1,789",719,200,65
광주광역시 남구 (2915500000),"216,256","216,256","6,985","10,808","11,054","12,098","14,809","13,454","11,021","15,317","16,411","17,882","17,091","16,373","15,937","11,550","9,700","7,488","4,759","2,339",880,204,96,"104,128","104,128","3,578","5,515","5,558","6,122","7,567","6,942","5,593","7,485","8,110","8,713","8,219","7,602","7,386","5,219","4,386","3,317","1,858",701,202,43,12,"112,128","112,128","3,407","5,293","5,496","5,976","7,242","6,512","5,428","7,832","8,301","9,169","8,872","8,771","8,551","6,331","5,314","4,171","2,901","1,638",678,161,84
광주광역시 북구 (2917000000),"433,444","433,444","14,993","19,582","20,048","23,978","31,981","30,945","25,559","31,203","31,729","36,812","37,252","35,190","30,693","21,070","16,463","12,404","7,845","3,915","1,373",292,117,"215,259","215,259","7,595","10,055","10,648","12,656","16,643","16,480","13,253","16,200","16,093","18,240","18,328","17,081","14,681","9,968","7,576","5,306","2,975","1,138",288,42,13,"218,185","218,185","7,398","9,527","9,400","11,322","15,338","14,465","12,306","15,003","15,636","18,572","18,924","18,109","16,012","11,102","8,887","7,098","4,870","2,777","1,085",250,104
광주광역시 광산구 (2920000000),"406,827","406,827","17,013","24,674","25,834","27,532","31,080","26,990","23,232","32,673","36,623","40,819","35,574","27,317","19,816","12,020","9,494","7,363","5,047","2,557",904,201,64,"204,865","204,865","8,655","12,779","13,184","14,275","16,476","14,270","11,942","16,352","17,989","20,658","18,193","14,572","10,154","5,713","4,311","2,908","1,601",624,174,30,5,"201,962","201,962","8,358","11,895","12,650","13,257","14,604","12,720","11,290","16,321","18,634","20,161","17,381","12,745","9,662","6,307","5,183","4,455","3,446","1,933",730,171,59
대전광역시  (3000000000),"1,471,040","1,471,040","50,532","68,007","69,793","79,746","105,508","107,430","91,362","106,335","110,860","129,230","125,181","117,574","103,675","70,137","50,205","39,666","26,474","13,266","4,662","1,050",347,"734,441","734,441","25,963","34,928","35,957","41,426","54,485","57,328","48,729","54,067","55,132","64,640","62,510","58,395","50,751","33,823","23,639","17,103","10,072","4,097","1,094",218,84,"736,599","736,599","24,569","33,079","33,836","38,320","51,023","50,102","42,633","52,268","55,728","64,590","62,671","59,179","52,924","36,314","26,566","22,563","16,402","9,169","3,568",832,263
대전광역시 동구 (3011000000),"224,300","224,300","6,564","9,056","9,348","11,048","16,067","14,335","11,647","14,861","15,794","18,499","18,359","18,745","18,328","13,438","10,240","8,624","5,564","2,586",894,209,94,"113,088","113,088","3,405","4,626","4,853","5,685","8,308","7,869","6,415","7,838","8,176","9,857","9,485","9,487","8,947","6,450","4,743","3,707","2,092",848,213,57,27,"111,212","111,212","3,159","4,430","4,495","5,363","7,759","6,466","5,232","7,023","7,618","8,642","8,874","9,258","9,381","6,988","5,497","4,917","3,472","1,738",681,152,67
대전광역시 중구 (3014000000),"238,540","238,540","6,521","9,449","10,287","12,269","15,708","15,686","12,262","14,797","17,162","20,443","20,382","19,803","18,804","14,202","11,392","9,004","6,102","2,935","1,010",244,78,"117,801","117,801","3,308","4,872","5,230","6,383","8,083","8,051","6,419","7,513","8,654","10,451","10,318","9,933","9,060","6,600","5,274","3,917","2,451",964,248,53,19,"120,739","120,739","3,213","4,577","5,057","5,886","7,625","7,635","5,843","7,284","8,508","9,992","10,064","9,870","9,744","7,602","6,118","5,087","3,651","1,971",762,191,59
대전광역시 서구 (3017000000),"481,436","481,436","16,833","22,780","23,636","27,232","35,878","38,247","31,536","35,904","36,601","43,098","40,678","37,363","32,070","21,182","14,523","10,990","7,299","3,848","1,352",300,86,"236,945","236,945","8,713","11,670","12,148","14,118","18,118","19,642","16,418","17,936","17,762","20,832","19,697","18,122","15,497","10,226","6,888","4,819","2,779","1,168",325,50,17,"244,491","244,491","8,120","11,110","11,488","13,114","17,760","18,605","15,118","17,968","18,839","22,266","20,981","19,241","16,573","10,956","7,635","6,171","4,520","2,680","1,027",250,69
대전광역시 유성구 (3020000000),"351,882","351,882","15,954","20,044","18,968","19,643","25,078","27,574","26,803","30,232","29,275","31,498","28,666","25,297","20,205","12,088","7,487","5,739","4,007","2,230",861,178,55,"177,640","177,640","8,264","10,290","9,782","10,273","13,019","15,162","14,398","15,191","14,400","15,535","14,258","12,567","10,081","6,060","3,661","2,423","1,418",614,191,40,13,"174,242","174,242","7,690","9,754","9,186","9,370","12,059","12,412","12,405","15,041","14,875","15,963","14,408","12,730","10,124","6,028","3,826","3,316","2,589","1,616",670,138,42
대전광역시 대덕구 (3023000000),"174,882","174,882","4,660","6,678","7,554","9,554","12,777","11,588","9,114","10,541","12,028","15,692","17,096","16,366","14,268","9,227","6,563","5,309","3,502","1,667",545,119,34,"88,967","88,967","2,273","3,470","3,944","4,967","6,957","6,604","5,079","5,589","6,140","7,965","8,752","8,286","7,166","4,487","3,073","2,237","1,332",503,117,18,8,"85,915","85,915","2,387","3,208","3,610","4,587","5,820","4,984","4,035","4,952","5,888","7,727","8,344","8,080","7,102","4,740","3,490","3,072","2,170","1,164",428,101,26
울산광역시  (3100000000),"1,142,190","1,142,190","43,883","57,878","55,261","58,561","72,777","73,964","68,601","87,411","89,137","100,137","107,628","103,086","85,287","54,698","34,429","24,187","14,856","7,212","2,474",558,165,"586,939","586,939","22,525","29,826","28,764","31,204","40,596","41,690","37,294","45,401","46,199","50,003","54,099","53,317","43,172","27,477","17,035","10,620","5,254","1,936",417,77,33,"555,251","555,251","21,358","28,052","26,497","27,357","32,181","32,274","31,307","42,010","42,938","50,134","53,529","49,769","42,115","27,221","17,394","13,567","9,602","5,276","2,057",481,132
울산광역시 중구 (3111000000),"220,028","220,028","7,100","10,179","9,759","10,686","13,709","13,918","11,945","15,372","16,111","18,788","20,845","21,067","18,373","12,540","8,071","5,877","3,504","1,522",498,107,57,"111,559","111,559","3,664","5,274","5,183","5,761","7,610","7,743","6,422","7,941","8,284","9,422","10,257","10,657","9,007","6,096","3,853","2,536","1,298",443,85,12,11,"108,469","108,469","3,436","4,905","4,576","4,925","6,099","6,175","5,523","7,431","7,827","9,366","10,588","10,410","9,366","6,444","4,218","3,341","2,206","1,079",413,95,46
