,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
46,부산 산부인과 신생아 두개골 손상 사건의 진상규명과 관련자 처벌을 청원합니다.,2019. 10. 24,2019. 11. 23,"215,186",2019. 12. 20,https://www1.president.go.kr/petitions/583272
47,"대한민국의 채용성차별을 규탄하고, 여⦁남 동일고용 동일임금 및 여성의무할당제을 요구합니다.",2019. 10. 24,2019. 11. 23,"209,397",2019. 12. 20,https://www1.president.go.kr/petitions/583277
48,아동포르노 사이트를 운영한 손모씨와 사이트 이용자들의 합당한 처벌을 원합니다.,2019. 10. 21,2019. 11. 20,"306,638",2019. 12. 19,https://www1.president.go.kr/petitions/583190
49,도서정가제의 폐지를 청원합니다.,2019. 10. 14,2019. 11. 13,"209,133",2019. 12. 12,https://www1.president.go.kr/petitions/583076
50,KBS 수신료 전기요금 분리징수 청원,2019. 10. 10,2019. 11. 09,"213,306",2019. 12. 06,https://www1.president.go.kr/petitions/583046
51,06년생 집단 폭행 사건,2019. 09. 23,2019. 10. 23,"250,092",2019. 11. 22,https://www1.president.go.kr/petitions/582785
52,전 언론의 세무조사를 명령한다.,2019. 09. 10,2019. 10. 10,"227,314",2019. 10. 31,https://www1.president.go.kr/petitions/582620
53,나경원 자한당 원내대표의 각종 의혹에 대한 특검 요청!,2019. 08. 28,2019. 09. 27,"365,040",2019. 10. 26,https://www1.president.go.kr/petitions/582349
54,기밀누설죄를 범한 윤석열 총장을 처벌해 주십시요.,2019. 08. 28,2019. 09. 27,"481,076",2019. 10. 26,https://www1.president.go.kr/petitions/582351
55,언론사의 가짜뉴스의 강력한 처벌을 청원합니다,2019. 08. 26,2019. 09. 25,"229,202",2019. 10. 24,https://www1.president.go.kr/petitions/582301
56,"한국내 일본산 활어유통과 일본해수 무단 방류, 무법깡패 일본 활어차 단속불가",2019. 07. 26,2019. 08. 25,"213,581",2019. 10. 18,https://www1.president.go.kr/petitions/581667
57,제주도 카니발 사건,2019. 08. 16,2019. 09. 15,"213,219",2019. 10. 11,https://www1.president.go.kr/petitions/582070
58,조국 전 청와대 민정수석의 법무장관 임용을 반대합니다.,2019. 08. 12,2019. 09. 11,"308,553",2019. 10. 10,https://www1.president.go.kr/petitions/582019
59,청와대는 조국 법무부장관 후보자의 임명을 반드시 해주십시오!!,2019. 08. 21,2019. 09. 20,"757,730",2019. 10. 10,https://www1.president.go.kr/petitions/582190
60,고 김성재님의 사망 미스테리를 다룬 그것이 알고싶다 방영하게 해주세요,2019. 08. 05,2019. 09. 04,"213,858",2019. 09. 27,https://www1.president.go.kr/petitions/581808
61,동물 학대 처벌 강화 그리고 유해 유튜브(유튜버 ***) 단속 강화 청원,2019. 07. 29,2019. 08. 28,"201,320",2019. 09. 27,https://www1.president.go.kr/petitions/581713
62,스티븐유(유승준) 입국금지 다시 해주세요. 국민 대다수의 형평성에 맞지 않고 자괴감이 듭니다.,2019. 07. 11,2019. 08. 10,"259,864",2019. 09. 09,https://www1.president.go.kr/petitions/581380
